t,target_deg,present_deg
7.152557373046875e-07,0.0,1.7582417582417582
0.02084636688232422,0.0,1.7582417582417582
0.04158210754394531,0.0,1.7582417582417582
0.06244492530822754,0.0,1.7582417582417582
0.0832974910736084,0.0,1.7582417582417582
0.10422110557556152,0.0,1.7582417582417582
0.12508463859558105,0.0,1.7582417582417582
0.14598941802978516,0.0,1.7582417582417582
0.16682696342468262,0.0,1.7582417582417582
0.18761062622070312,0.0,1.7582417582417582
0.20833253860473633,0.0,1.7582417582417582
0.2290489673614502,0.0,1.7582417582417582
0.24980783462524414,0.0,1.7582417582417582
0.27058863639831543,0.0,1.7582417582417582
0.2914388179779053,0.0,1.7582417582417582
0.3123316764831543,0.0,1.7582417582417582
0.3331613540649414,0.0,1.7582417582417582
0.35457324981689453,0.0,1.7582417582417582
0.3754241466522217,0.0,1.7582417582417582
0.39624929428100586,0.0,1.7582417582417582
0.41713762283325195,0.0,1.7582417582417582
0.4379885196685791,0.0,1.7582417582417582
0.4588127136230469,0.0,1.7582417582417582
0.479616641998291,0.0,1.7582417582417582
0.5004632472991943,0.0,1.7582417582417582
0.5214836597442627,0.0,1.7582417582417582
0.5423598289489746,0.0,1.7582417582417582
0.563439130783081,0.0,1.7582417582417582
0.5842833518981934,0.0,1.7582417582417582
0.6051435470581055,0.0,1.7582417582417582
0.6261849403381348,0.0,1.7582417582417582
0.6470932960510254,0.0,1.7582417582417582
0.6681368350982666,0.0,1.7582417582417582
0.6889684200286865,0.0,1.7582417582417582
0.7099342346191406,0.0,1.7582417582417582
0.730954647064209,0.0,1.7582417582417582
0.7519893646240234,0.0,1.7582417582417582
0.7728743553161621,0.0,1.7582417582417582
0.7936997413635254,0.0,1.7582417582417582
0.8145830631256104,0.0,1.7582417582417582
0.8354439735412598,0.0,1.7582417582417582
0.8564717769622803,0.0,1.7582417582417582
0.8773260116577148,0.0,1.7582417582417582
0.8983280658721924,0.0,1.7582417582417582
0.9193422794342041,0.0,1.7582417582417582
0.9403727054595947,0.0,1.7582417582417582
0.9612472057342529,0.0,1.7582417582417582
0.9821329116821289,0.0,1.7582417582417582
1.0030510425567627,0.0,1.7582417582417582
1.0238523483276367,0.0,1.7582417582417582
1.0446958541870117,0.0,1.7582417582417582
1.0656330585479736,0.0,1.7582417582417582
1.086435317993164,0.0,1.7582417582417582
1.1072614192962646,0.0,1.7582417582417582
1.128114938735962,0.0,1.7582417582417582
1.1489458084106445,0.0,1.7582417582417582
1.1697230339050293,0.0,1.7582417582417582
1.1905152797698975,0.0,1.7582417582417582
1.2115464210510254,0.0,1.7582417582417582
1.2325329780578613,0.0,1.7582417582417582
1.2533738613128662,0.0,1.7582417582417582
1.2743277549743652,0.0,1.7582417582417582
1.295168161392212,0.0,1.7582417582417582
1.3162078857421875,0.0,1.7582417582417582
1.3370835781097412,0.0,1.7582417582417582
1.358100414276123,0.0,1.7582417582417582
1.3789286613464355,0.0,1.7582417582417582
1.3996853828430176,0.0,1.7582417582417582
1.4204955101013184,0.0,1.7582417582417582
1.4415781497955322,0.0,1.7582417582417582
1.4623866081237793,0.0,1.7582417582417582
1.483170747756958,0.0,1.7582417582417582
1.5040526390075684,0.0,1.7582417582417582
1.5250990390777588,0.0,1.7582417582417582
1.5459747314453125,0.0,1.7582417582417582
1.5667603015899658,0.0,1.7582417582417582
1.5875685214996338,0.0,1.7582417582417582
1.6085903644561768,0.0,1.7582417582417582
1.6294546127319336,0.0,1.7582417582417582
1.6502501964569092,0.0,1.7582417582417582
1.6710751056671143,0.0,1.7582417582417582
1.6920411586761475,0.0,1.7582417582417582
1.712942123413086,0.0,1.7582417582417582
1.733818531036377,0.0,1.7582417582417582
1.7545890808105469,0.0,1.7582417582417582
1.7753844261169434,0.0,1.7582417582417582
1.7961819171905518,0.0,1.7582417582417582
1.816997766494751,0.0,1.7582417582417582
1.8380179405212402,0.0,1.7582417582417582
1.8588240146636963,0.0,1.7582417582417582
1.8795888423919678,0.0,1.7582417582417582
1.9004466533660889,0.0,1.7582417582417582
1.9212901592254639,0.0,1.7582417582417582
1.942082166671753,0.0,1.7582417582417582
1.962876796722412,0.0,1.7582417582417582
1.9836835861206055,0.0,1.7582417582417582
2.0045831203460693,-15.0,1.7582417582417582
2.0253541469573975,-15.0,1.7582417582417582
2.046365261077881,-15.0,1.7582417582417582
2.0672714710235596,-15.0,1.5824175824175823
2.088104486465454,-15.0,0.5274725274725275
2.1089274883270264,-15.0,-1.054945054945055
2.129783868789673,-15.0,-3.1648351648351647
2.1505649089813232,-15.0,-5.274725274725275
2.171417236328125,-15.0,-7.208791208791209
