t,target_deg,present_deg
4.76837158203125e-07,0.0,2.3736263736263736
0.020750761032104492,0.0,2.3736263736263736
0.04150843620300293,0.0,2.3736263736263736
0.06230950355529785,0.0,2.3736263736263736
0.08313584327697754,0.0,2.3736263736263736
0.10387563705444336,0.0,2.3736263736263736
0.12463998794555664,0.0,2.3736263736263736
0.1453852653503418,0.0,2.3736263736263736
0.1661820411682129,0.0,2.3736263736263736
0.1869208812713623,0.0,2.3736263736263736
0.20767641067504883,0.0,2.3736263736263736
0.2285022735595703,0.0,2.3736263736263736
0.2492964267730713,0.0,2.3736263736263736
0.27013540267944336,0.0,2.3736263736263736
0.29091930389404297,0.0,2.3736263736263736
0.3116414546966553,0.0,2.3736263736263736
0.33238840103149414,0.0,2.3736263736263736
0.35309600830078125,0.0,2.3736263736263736
0.3738255500793457,0.0,2.3736263736263736
0.39457011222839355,0.0,2.3736263736263736
0.4152851104736328,0.0,2.3736263736263736
0.4359703063964844,0.0,2.3736263736263736
0.45676088333129883,0.0,2.3736263736263736
0.47754907608032227,0.0,2.3736263736263736
0.49825096130371094,0.0,2.3736263736263736
0.5189652442932129,0.0,2.3736263736263736
0.5397908687591553,0.0,2.3736263736263736
0.5605354309082031,0.0,2.3736263736263736
0.5813817977905273,0.0,2.3736263736263736
0.6021225452423096,0.0,2.3736263736263736
0.6229703426361084,0.0,2.3736263736263736
0.6437063217163086,0.0,2.3736263736263736
0.6646144390106201,0.0,2.3736263736263736
0.6854040622711182,0.0,2.3736263736263736
0.7061431407928467,0.0,2.3736263736263736
0.7268991470336914,0.0,2.3736263736263736
0.7476632595062256,0.0,2.3736263736263736
0.7685036659240723,0.0,2.3736263736263736
0.7892787456512451,0.0,2.3736263736263736
0.810053825378418,0.0,2.3736263736263736
0.830888032913208,0.0,2.3736263736263736
0.8517606258392334,0.0,2.3736263736263736
0.8725214004516602,0.0,2.3736263736263736
0.8932559490203857,0.0,2.3736263736263736
0.9139816761016846,0.0,2.3736263736263736
0.9346814155578613,0.0,2.3736263736263736
0.9554884433746338,0.0,2.3736263736263736
0.976219892501831,0.0,2.3736263736263736
0.9969942569732666,0.0,2.3736263736263736
1.0178022384643555,0.0,2.3736263736263736
1.0385053157806396,0.0,2.3736263736263736
1.0592353343963623,0.0,2.3736263736263736
1.0799643993377686,0.0,2.3736263736263736
1.1006572246551514,0.0,2.3736263736263736
1.1213741302490234,0.0,2.3736263736263736
1.142115831375122,0.0,2.3736263736263736
1.1628522872924805,0.0,2.3736263736263736
1.183584451675415,0.0,2.3736263736263736
1.2042760848999023,0.0,2.3736263736263736
1.2250127792358398,0.0,2.3736263736263736
1.2458148002624512,0.0,2.3736263736263736
1.2665421962738037,0.0,2.3736263736263736
1.2872796058654785,0.0,2.3736263736263736
1.308000087738037,0.0,2.3736263736263736
1.3286964893341064,0.0,2.3736263736263736
1.3495008945465088,0.0,2.3736263736263736
1.3702499866485596,0.0,2.3736263736263736
1.3911406993865967,0.0,2.3736263736263736
1.4118633270263672,0.0,2.3736263736263736
1.4325659275054932,0.0,2.3736263736263736
